"Time [ms]","Steel_1008 [Wb]","Steel_1008_NoEddy [Wb]","SS430 [Wb]"
0,-0,-0,-0
0.1,0.0195035846047722,0.0199283417439034,0.0199166710865445
0.2,0.0388024934803656,0.0397852839492969,0.0397503651058696
0.3,0.0579415358676768,0.0595710865081119,0.0595014373877022
0.4,0.0769422444903772,0.0792860103527043,0.07917024640774
0.5,0.0958167425337084,0.0989303174106395,0.0987571536613082
0.6,0.114573798648106,0.118504270560727,0.11826252354084
0.7,0.133219838734236,0.138008133590301,0.137686723217163
0.8,0.151759965377252,0.15744217115378,0.157030122524611
0.9,0.170198192089927,0.176806648732503,0.176293093850005
1,0.188537677574543,0.196101832595916,0.195476012025593
1.1,0.206780883530633,0.215327989764145,0.214579254226081
1.2,0.224929673558894,0.234485387972057,0.23360319986996
1.3,0.242984923521515,0.253574295634923,0.252548230525406
1.4,0.26094660349332,0.272594981815845,0.271414729821154
1.5,0.278814535344326,0.291547716195168,0.290203083362883
1.6,0.296588687866875,0.310432769042179,0.308913678496534
1.7,0.314269166854145,0.329250411189545,0.327546904024101
1.8,0.331856073292062,0.34800091398494,0.346103150297515
1.9,0.349349507342086,0.366684549074669,0.364582809236853
2,0.366749732867,0.385301588460742,0.382986274126909
2.1,0.384057040351693,0.403852304532371,0.401313939309287
2.2,0.401271558681377,0.422336970069344,0.419566200063788
2.3,0.418393400975416,0.440755858144671,0.437743452663692
2.4,0.435422705139303,0.459109242000416,0.455846094213983
2.5,0.452360220960505,0.477397394940458,0.473874522563667
2.6,0.469207140015451,0.495620590417434,0.491829136248867
2.7,0.485964986367798,0.513779102007317,0.509710334456411
2.8,0.502635437108258,0.531873203311297,0.527518516992482
2.9,0.519220133189856,0.549903167950395,0.545254084211732
3,0.535720591775229,0.567869269552597,0.562917436926346
3.1,0.552138167659096,0.585771781747884,0.580508976162078
3.2,0.568474018798766,0.603610978167336,0.598029103166095
3.3,0.584729163546387,0.621387132411035,0.615478219179269
3.4,0.600904517522812,0.639100518021746,0.632856725446546
3.5,0.617000884151574,0.65675140860742,0.650165023089182
3.6,0.633018946698355,0.674340078350588,0.667403513781996
3.7,0.648959280655667,0.691866801921009,0.684572599586008
3.8,0.664822355269663,0.709331854623937,0.701672683018162
3.9,0.680608567828929,0.726735512408795,0.718704167021078
4,0.696318292920466,0.744078051903243,0.735667454978918
4.1,0.711951867823054,0.76135975051731,0.752562950792786
4.2,0.727509579808455,0.778580886501765,0.769391058753124
4.3,0.742991688977506,0.795741738976006,0.786152183489132
4.4,0.758398468054345,0.812842592481083,0.802846734325865
4.5,0.773730231117376,0.829883723663751,0.819475111856025
4.6,0.788987332383948,0.846865414647812,0.836037720661071
4.7,0.804170157857812,0.863787948703801,0.852534963608431
4.8,0.819279142609367,0.88065161024072,0.868967238467356
4.9,0.834314806388138,0.89745668496796,0.88533493694593
5,0.849277779211525,0.914203459862388,0.901638447673311
5.1,0.864168791506186,0.930892223200275,0.917878156492931
5.2,0.878988621261035,0.947523264599951,0.934054439721319
5.3,0.893738069338234,0.964096875026428,0.950167664373152
5.4,0.90841794603147,0.980613346736253,0.966218192628938
5.5,0.923029054418713,0.997072973068256,0.982206383215944
5.6,0.937572193688378,1.0134760478718,0.998132592256087
5.7,0.952048158595919,1.02982286458143,1.01399717097558
5.8,0.966457738333417,1.04611371575937,1.02980046575969
5.9,0.980801699909364,1.06234889421178,1.04554281997399
6,0.995080775895992,1.07852869354888,1.0612245747496
6.1,1.00929565949283,1.09465340844922,1.07684606955106
