"Time [ms]","STEEL_1008 [mA]","Steel_1008_NoEddy [mA]","SS430 [mA]"
9.7,389.689603971164,282.632973826555,315.798595220285
9.8,392.052894161048,284.77516624184,318.142975010714
9.9,394.395398808479,286.896501493055,320.466215251891
10,396.717060949686,288.996647453907,322.768033090022
10.1,399.018291216703,291.075537872721,325.048167069553
10.2,401.299223775409,293.132192969579,327.306612123474
10.3,403.55982082621,295.166526019079,329.542470774558
10.4,405.799923116611,297.178163030928,331.755723767797
10.5,408.01930468576,299.166686546964,333.946068204648
10.6,410.217642013602,301.131701906853,336.113162229484
10.7,412.394875804224,303.072779573761,338.256685840275
10.8,414.549963997079,304.989136066465,340.37628450631
10.9,416.682700425524,306.881032017942,342.4712471965
11,418.792523007025,308.747647830067,344.541928653577
11.1,420.878790821146,310.588333358332,346.587590634987
11.2,422.940917657862,312.403025144388,348.607641658141
11.3,424.978307213699,314.190924909033,350.602118529708
11.4,426.989995511996,315.951712188652,352.570281740345
11.5,428.976198427931,317.684786399751,354.511922019942
11.6,430.936068501557,319.389515661128,356.426516278529
11.7,432.869013304701,321.065557153594,358.313622523473
11.8,434.774958130993,322.712229475765,360.172713257262
11.9,436.653582760226,324.329055667223,362.003457413434
12,438.504915020157,325.915267186545,363.80532820585
12.1,440.328849126522,327.470382715948,365.577882018333
12.2,442.125446065351,328.99375738757,367.3204846769
12.3,443.894683331124,330.484749584525,369.032681309335
12.4,445.636634629202,331.942705639307,370.71392057313
12.5,447.351296696894,333.366946671988,372.363683041726
12.6,449.038757102516,334.75677630141,373.981899995575
12.7,450.698888784118,336.112002937194,375.566441044082
12.8,452.331768409162,337.430839486444,377.118253761285
12.9,453.937371688618,338.712481957932,378.63671827504
13,455.51568013353,339.957270877358,380.119634354426
13.1,457.066645433571,341.16385125408,381.568419101785
13.2,458.5901733971,342.331366830094,382.980338169257
13.3,460.086665336196,343.458964093842,384.356250561619
13.4,461.554224835591,344.547342134532,385.69542494949
13.5,462.9948003914,345.592413342018,386.996142149915
13.6,464.405776655648,346.594820108964,388.258931556703
13.7,465.78842683392,347.553556987403,389.481813082314
13.8,467.142374818852,348.467630113861,390.663143335034
13.9,468.466026103598,349.336384032457,391.803791446118
14,469.758935677322,350.158995279786,392.902356425562
14.1,471.021895456797,350.932682252642,393.958247311227
14.2,472.255427795577,351.657652075297,394.97084530947
14.3,473.456652317556,352.333028814221,395.937528376864
14.4,474.624868090904,352.955747831456,396.859728979002
14.5,475.76141670393,353.52523444318,397.73343740132
14.6,476.865322225615,354.040265978744,398.559096105567
14.7,477.935944120365,354.501046341102,399.335140786313
14.8,478.972734103324,354.904134949408,400.060695230632
14.9,479.977895970876,355.248474510616,400.735952573164
15,480.946211829161,355.534255547155,401.357815492798
15.1,481.880085438662,355.754156251821,401.925324061529
15.2,482.777735313858,355.913455252987,402.438824743119
15.3,483.638893642052,356.003777726822,402.89163794624
15.4,484.462105133669,356.030599109321,403.28875590309
15.5,485.249580539293,355.988317570997,403.622418613084
15.6,485.998400421567,355.874598823786,403.898149113786
15.7,486.708691694664,355.688043665661,404.110703850197
15.8,487.379594029917,355.426049056222,404.258046063604
15.9,488.010883023783,355.0866876298,404.33905965847
16,488.60282367203,354.668908752929,404.351473939511
16.1,489.149989069371,354.166242231152,404.293650804328
16.2,489.657820786362,353.57651724448,404.162869389782
16.3,490.120410307996,352.899745280891,403.959314475561
16.4,490.542284253377,352.135251488235,403.676557222073
16.5,490.920506773608,351.273249930413,403.312335874376
16.6,491.253727735461,350.311470500675,402.870999201435
16.7,491.54187118477,349.252602182102,402.341954894756
16.8,491.783943569027,348.087217658922,401.72546835618
16.9,491.978320329242,346.813374211607,401.01650841449
17,492.125096683786,345.42680471389,400.217691280628
17.1,492.224692872617,343.922590694963,399.320750370138
17.2,492.271962000199,342.296880386971,398.323777523311
17.3,492.26644949779,340.545053446132,397.222357422423
17.4,492.212669541807,338.66088789835,396.013089420339
17.4999999999999,492.102533158884,336.638983906637,394.692771674893
17.5999999999999,491.937378240571,334.473229074323,393.255959569243
17.6999999999999,491.714837718202,332.15813450595,391.698006884937
17.7999999999999,491.436077732845,329.688388889677,390.013475922125
17.8999999999999,491.097542069306,327.053025409635,388.198443084005
17.9999999999999,490.698391510779,324.244926916103,386.248428890783
18.0999999999999,490.236888609758,321.25700046576,384.153913723142
18.1999999999999,489.71071869294,318.079871471596,381.909808898647
18.2999999999999,489.118598223882,314.702841686808,379.509719956251
18.3999999999999,488.459007693596,311.115337795872,376.945952099092
18.4999999999999,487.728776520538,307.305542647711,374.2101151041
18.5999999999999,486.926175254019,303.262569177474,371.293389693363
