"Time [ms]","Steel_1008 [m_per_sec]","Steel_1008_NoEddy [m_per_sec]","SS430 [m_per_sec]"
6.4,0.00825050440508969,0.0111900814799263,0.0106535269500952
6.5,0.00889165908316399,0.0120084635537692,0.0114362711954132
6.6,0.00955933919151944,0.0128596416557601,0.0122502832085682
6.7,0.0102537856929818,0.0137439726256593,0.0130958812181159
6.8,0.0109752375181647,0.0146618111743094,0.0139733815161559
6.90000000000001,0.0117239313348531,0.0156135099096692,0.0148830979412271
7.00000000000001,0.0125001014240577,0.0165994201559046,0.0158253418672517
7.10000000000001,0.0133039798471381,0.0176198918710941,0.0168004232573589
7.20000000000001,0.0141357957882363,0.0186752735076611,0.0178086501488675
7.30000000000001,0.0149957757197734,0.0197659125468184,0.018850329168679
7.40000000000001,0.0158841439022965,0.0208921552988946,0.0199257654305013
7.50000000000001,0.0168011220683668,0.0220543472696825,0.0210352626035854
7.60000000000001,0.0177469295694271,0.0232528287646196,0.0221791235232706
7.70000000000001,0.0187217837514177,0.0244879441069447,0.0233576452970906
7.80000000000001,0.019725899681344,0.0257600626833726,0.0245711287743009
7.90000000000001,0.0207594903356049,0.027069543807631,0.0258198991730287
8.00000000000001,0.021822762426487,0.0284167122696653,0.0271042714614971
8.10000000000001,0.0229159248432986,0.0298018985218947,0.0284245260704725
8.20000000000001,0.0240391891987335,0.0312254477086808,0.0297809484690567
8.30000000000001,0.0251927807066981,0.03268770534643,0.0311738383497602
8.4,0.0263769175235854,0.0341890117126468,0.0326034890187237
8.5,0.0275917852395998,0.03572971465109,0.0340702013308477
8.6,0.0288375746955906,0.0373101701317254,0.0355742831844505
8.7,0.0301144896028442,0.0389307300966071,0.0371160373133989
8.8,0.0314227275499659,0.0405917488499323,0.0386957683318929
8.9,0.0327624927225748,0.0422935798293564,0.040313782468087
9,0.0341339959156715,0.0440365667440388,0.0419703846470388
9.1,0.0355374427768735,0.0458210802367728,0.043665870313952
9.2,0.0369730406019929,0.0476474966355395,0.0454005606730603
9.3,0.0384409979643086,0.0495161856775049,0.0471747828137428
9.4,0.0399415221212667,0.0514275212289973,0.0489888563298709
9.5,0.0414748118507817,0.0533818652087544,0.0508431030226214
9.6,0.0430410885253454,0.0553795909124844,0.0527378330191389
9.7,0.0446405783099596,0.0574210770038306,0.0546733676133367
9.8,0.0462734895872224,0.0595067052435711,0.056650032737545
9.9,0.0479400547912517,0.0616368661783485,0.058668155811979
10,0.0496404952559337,0.0638119604258807,0.0607280712026054
10.1,0.0513750186825133,0.0660324670885998,0.0628301249474941
10.2,0.0531438501244352,0.0682987995975624,0.0649747382558336
10.3,0.0549472109323554,0.0706113023667095,0.0671622655577418
10.4,0.0567853314774302,0.0729703931863,0.0693929942158767
10.5,0.0586584478150949,0.0753764922594256,0.0716672834005608
10.6,0.0605667926201503,0.0778300366509151,0.0739854933778607
10.7,0.0625106806062182,0.0803314791854782,0.0763479982776056
10.8,0.0644903616150435,0.0828812963346015,0.0787551859722787
10.9,0.0665060119169859,0.085479949594901,0.0812074619626538
11,0.0685578753445654,0.0881278801924892,0.083705222181268
11.1,0.0706462014579898,0.0908255586094894,0.0862488552612445
11.2,0.0727712510848827,0.0935734829673927,0.0888387666167741
11.3,0.0749332891297257,0.0963721606776981,0.0914753851954152
11.4,0.0771326069449858,0.0992221034600339,0.0941591358102037
11.5,0.0793694688379657,0.102123851734538,0.0968904481295888
11.6,0.0816441388874782,0.105077948147642,0.0996697941760149
11.7,0.0839568938874336,0.108084952198164,0.102497633415395
11.8,0.0863080228564826,0.111145417908519,0.10537445497689
11.9,0.0886978250579908,0.114259898114903,0.108300734037001
12,0.0911266023502471,0.11742896275241,0.111276941633414
12.1,0.0935946767229836,0.120653228660335,0.114303572845195
12.2,0.0961023554436044,0.123933346870173,0.117381148713969
12.3,0.0986499766290564,0.127269963580906,0.120510224160667
12.4,0.10123787583903,0.130663744995335,0.123691334601487
12.5,0.103866384925309,0.134115359518576,0.126925054540548
12.6,0.106535849603534,0.137625500554454,0.130211989072695
12.7,0.109246596819975,0.141194923447663,0.1335527068145
12.8,0.111998998569801,0.144824370532635,0.13694782153546
12.9,0.114793456552038,0.148514553294136,0.140398009557965
13,0.117630356572178,0.152266262713378,0.143903887880696
13.1,0.120510105047076,0.156080341795713,0.147466125198873
13.2,0.123433104547857,0.159957632024121,0.151085424556206
13.3,0.126399778061395,0.163898993001491,0.154762493350294
13.4,0.129410553942831,0.167905418369444,0.158498104840959
13.5,0.132465883131584,0.171977856040519,0.1622930072402
13.6,0.135566202930275,0.176117154151867,0.166148077997034
13.7,0.13871196033397,0.180324265071212,0.170064147095155
13.8,0.141903674681795,0.184600205543023,0.174041930662788
13.9,0.145141846436621,0.188946128294455,0.178082278415183
14,0.148426954652114,0.193363035762901,0.182186088894707
14.1,0.151759516639347,0.197851989273774,0.186354387990624
14.2,0.155140175260049,0.202414231124968,0.190588058259217
14.3,0.15856952292728,0.207050977004355,0.194888025178397
14.4,0.162048016825538,0.211763536450464,0.199255387249364
14.5,0.165576202289492,0.216553143225497,0.20369120102827
14.6,0.169154700547869,0.221421179305744,0.20819661616681
14.7,0.172784221988706,0.226369134304548,0.212772720656849
14.8,0.17646545882283,0.231398466309418,0.217420730476727
14.9,0.180198882383129,0.236510182385335,0.222141956077145
15,0.183985164053415,0.241706857909731,0.22693767721186
15.1,0.187825110086046,0.246990630076172,0.231808728446106
15.2,0.191719443216248,0.252362247650571,0.236757455004144
15.3,0.195668962946764,0.257823910991926,0.241785747730115
15.4,0.199674415177687,0.263377689212067,0.246894179692119
15.5,0.20373659394436,0.269025245686358,0.252084728334599
15.6,0.207856399904864,0.274768380944152,0.257359200928838
15.7,0.212034743121202,0.280609277940191,0.26271902199561
15.8,0.216272052942436,0.286550327713321,0.268165745305988
15.9,0.220569265420222,0.29259402727856,0.273701277212362
16,0.224928700785637,0.298742891723238,0.279327708022388
16.1,0.229351269722301,0.304999346143879,0.285047229415985
16.2,0.233837184182201,0.311366372763703,0.290861984293149
16.3,0.238388035324864,0.317846603341506,0.296774110144647
16.4,0.243004951689215,0.324443443867351,0.302785955795131
16.5,0.247688721418743,0.331160348774041,0.30889999982449
16.6,0.252440485413465,0.337999611862112,0.315119538043009
16.7,0.25726153065048,0.34496460257333,0.321447276059398
16.8,0.262153384975116,0.352059395545402,0.327885440061053
16.9,0.267117356039594,0.359288723187045,0.334436666209382
17,0.272154904122696,0.366656791188268,0.341104055126773
17.1,0.277267621476085,0.374167428720691,0.347891356535937
17.2,0.282456954737253,0.381825239972323,0.354802918952242
17.3,0.287724756469149,0.389635189451697,0.361842608120313
17.4,0.293073091838193,0.397602540338737,0.369013683848374
