time_s,position_mm,velocity_m_s,current_A,force_N,restoring_force_N,back_emf_V,flux_linkage_Wb
0.0,0.0,0.0,0.0,-0.0,5.0,0.0,0.0
0.0001,0.0,0.0,0.0022497430395327475,0.008221334746776332,5.0,0.0,0.01999999465593807
0.0002,0.0,0.0,0.004494427974457406,0.03281137886082357,5.0,0.0,0.03995498346413096
0.00030000000000000003,0.0,0.0,0.006734070621899872,0.07365962867956592,5.0,0.0,0.05986506775037463
0.0004,0.0,0.0,0.00896868670322159,0.1306561600411906,5.0,0.0,0.07973034852277538
0.0005,0.0,0.0,0.011198291844701082,0.2036916251344225,5.0,0.0,0.09955092647370413
0.0006000000000000001,0.0,0.0,0.01342290157821266,0.2926572493699988,5.0,0.0,0.1193269019816365
0.0007,0.0,0.0,0.015642531341893827,0.3974448282739593,5.0,0.0,0.139058375113046
0.0008,0.0,0.0,0.017857196480842517,0.5179467244034323,5.0,0.0,0.158745445624409
0.0009000000000000001,0.0,0.0,0.020066912247763764,0.6540558642760217,5.0,0.0,0.1783882129629721
0.001,0.0,0.0,0.02227169380439084,0.8056657353127314,5.0,0.0,0.1979867762668798
0.0011,0.0,0.0,0.024471556222755174,0.9726703828555056,5.0,0.0,0.2175412343714611
0.0012000000000000001,0.0,0.0,0.026666514485230733,1.154964407118645,5.0,0.0,0.2370516858095001
0.0013000000000000002,0.0,0.0,0.028856583484988027,1.352442960294749,5.0,0.0,0.256518228813986
0.0014,0.0,0.0,0.03104177802639093,1.565001743506898,5.0,0.0,0.2759409613167386
0.0015,0.0,0.0,0.03322211282710695,1.792537003876261,5.0,0.0,0.2953199809493244
0.0016,0.0,0.0,0.035397602518765066,2.034945531672915,5.0,0.0,0.3146553850499657
0.0017000000000000001,0.0,0.0,0.03756826164690936,2.292124657396733,5.0,0.0,0.333947270665338
0.0018000000000000002,0.0,0.0,0.03973410467156014,2.56397224879156,5.0,0.0,0.3531957345430649
0.0019,0.0,0.0,0.041895145969540054,2.85038670817484,5.0,0.0,0.3724008731457162
0.002,0.0,0.0,0.04405139983352648,3.151266969454536,5.0,0.0,0.3915627826442999
0.0021000000000000003,0.0,0.0,0.04620288047358298,3.466512495414311,5.0,0.0,0.4106815589256165
0.0022,0.0,0.0,0.04834960201703817,3.796023274703869,5.0,0.0,0.4297572975811507
0.0023,0.0,0.0,0.050491578512708954,4.139699819366769,5.0,0.0,0.4487900939267652
0.0024000000000000002,0.0,0.0,0.05262882392749602,4.497443161911092,5.0,0.0,0.4677800429953543
0.0025,0.0,0.0,0.05476135214897716,4.86915485256349,5.0,0.0,0.4867272395371197
0.0026000000000000003,0.0,0.0,0.05688917698479497,5.254736956754253,5.0,0.0,0.5056317780324532
0.0027,4.2456159459042024e-07,4.2456159459042096e-06,0.059012312162190154,5.65416250562398,5.000000636842392,0.0,0.5245052311245093
